activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,climate change: total (incl. biogenic CO2): global warming potential (GWP100) [IPCC 2021 (incl. biogenic CO2)],climate change: fossil: global warming potential (GWP100) [IPCC 2021],climate change: biogenic (incl. CO2): global warming potential (GWP100) [IPCC 2021 (incl. biogenic CO2)],climate change: direct land use change: global warming potential (GWP100) [IPCC 2021],climate change: aircraft emissions: global warming potential (GWP100) [IPCC 2021],climate change: global warming potential (GWP20) [IPCC 2013],climate change: global temperature change potential (GTP100) [IPCC 2013]
"1,1-difluoroethane production",RoW,"1,1-difluoroethane",kg,1,6.214036143899335,6.187289795473028,0.019260584707451,0.0074857637188572,3.992583196240562e-08,11.40419620647924,3.99986143924183
"1,1-difluoroethane production",US,"1,1-difluoroethane",kg,1,6.204295044827954,6.187063503831108,0.0109280068302093,0.0063035341666365,3.997478220210639e-08,11.40462494872399,3.996600902245909
"1,1-dimethylcyclopentane to generic market for solvent, organic",GLO,"solvent, organic",kg,1,1.308074196868331,1.303452873510634,0.0040595177127437,0.0005618056449533,1.504452353075103e-08,2.086573794348529,0.9692035944201062
"1,3-dichloropropene to generic market for pesticide, unspecified",GLO,"pesticide, unspecified",kg,1,1.650042942598748,1.63798016144479,0.0105586564887551,0.0015041246652032,1.53714655192525e-08,2.082155806680122,1.456936710674998
"1,4-butanediol production",RoW,"1,4-butanediol",kg,1,6.182715088158969,6.130147844005287,0.0472728681890493,0.0052943759646334,3.8483378659441e-08,7.296721740291667,5.719466714239295
"1,4-butanediol production",RER,"1,4-butanediol",kg,1,4.299674965160783,4.264786899459476,0.031409665192641,0.0034784005086658,2.6949865162851332e-08,5.172608226337445,3.965502840490227
1-methoxy-2-propanol production,GLO,1-methoxy-2-propanol,kg,1,4.500678375184614,4.476275216011228,0.0194367577970185,0.0049664013763678,4.129740072614511e-08,5.499819573674594,4.092922840459226
1-methylcyclopropene production,GLO,1-methylcyclopropene,kg,1,10.87032013114288,10.81035267875697,0.0461273937374155,0.0138400586484937,9.115214286639593e-08,12.87607526958456,9.97872236819057
1-methylcyclopropene production,GLO,"sodium chloride, powder",kg,1,0.1851026398714647,0.1840814984874868,0.0007854692638466,0.0002356721201312,1.552162408370499e-09,0.2192571603071273,0.1699202811520428
1-naphthylacetic acid production,GLO,1-naphthylacetic acid,kg,1,4.598837011679145,4.589955198962326,0.0053856554506561,0.0034961572661636,4.303433582988257e-08,5.635873782559793,4.195134157454561
1-propanol production,RoW,1-propanol,kg,1,4.927395422859723,4.873556195332098,0.0508934210613698,0.002945806466255,4.27524698778462e-08,5.894133169016663,4.465430895671179
1-propanol production,RER,1-propanol,kg,1,3.90499911462772,3.89243213853261,0.0107358066288722,0.0018311694662374,2.8293988480138434e-08,4.793625974313275,3.522185507157364
"2,3-dimethylbutane to generic market for solvent, organic",GLO,"solvent, organic",kg,1,1.308074196868331,1.303452873510634,0.0040595177127438,0.0005618056449533,1.504452353075002e-08,2.086573794348529,0.9692035944201064
"2,4-di-tert-butylphenol production",GLO,"2,4-di-tert-butylphenol",kg,1,4.764976763094044,4.763888058551697,-0.0009658363011417,0.0020545408434903,3.3910027667360334e-08,5.988445813220596,4.249944893086034
"2,4-dichlorophenol production",RoW,"2,4-dichlorophenol",kg,1,4.24497958194686,4.237924045435027,0.0024730635533398,0.0045824729584929,4.055855625652808e-08,5.112765326253075,3.885103623560623
"2,4-dichlorophenol production",RER,"2,4-dichlorophenol",kg,1,3.257263487247132,3.210838333766131,0.0434817715918579,0.0029433818891437,4.0941574731062364e-08,3.9733668690558,2.900338227627392
"2,4-dichlorotoluene production",RoW,"2,4-dichlorotoluene",kg,1,3.085459905707781,3.075136495336393,0.0063552468304324,0.0039681635409548,2.8962818090124664e-08,3.801354993552536,2.778809240181594
"2,4-dichlorotoluene production",RER,"2,4-dichlorotoluene",kg,1,2.367886530423225,2.324187181464127,0.0411732995429714,0.0025260494161264,2.9516168341504922e-08,2.977167393800686,2.057197528117799
"2,4-dinitrotoluene production",RoW,"2,4-dinitrotoluene",kg,1,3.038737649793585,3.040228899510524,-0.0022818500178502,0.0007906003009107,2.2764514928300782e-08,3.563234066521893,2.658905350522136
"2,4-dinitrotoluene production",RER,"2,4-dinitrotoluene",kg,1,1.975873303422511,1.973940779792455,0.0013832997480184,0.000549223882038,2.6751158700444912e-08,2.537596295227849,1.714120164677048
"2,5-dimethylhexane-2,5-dihydroperoxide production",GLO,"2,5-dimethylhexane-2,5-dihydroperoxide",kg,1,5.145024906438394,5.118868379095123,0.0211510756775255,0.0050054516657444,5.3352111960007865e-08,6.158418267078503,4.713006654660177
"2,6-di-tert-butylphenol production",GLO,"2,6-di-tert-butylphenol",kg,1,3.639313884493847,3.638990598683445,-0.0015256668006866,0.0018489526110878,3.1038571710787165e-08,4.607026313809312,3.234608572096348
2-butanol production by hydration of butene,RoW,2-butanol,kg,1,5.460078619785769,5.460795947021699,-0.0022811010889818,0.0015637738530501,2.311261122704971e-08,6.75822948345687,4.913611083983379
2-butanol production by hydration of butene,RoW,butane,kg,1,2.600037437993234,2.600379022391297,-0.0010862386138008,0.0007446542157381,1.1006005346212691e-08,3.218204515931859,2.339814801896858
2-butanol production by hydration of butene,RER,2-butanol,kg,1,4.914860803120418,4.903094147934939,0.010549191735345,0.0012174634501333,2.312215405997722e-08,6.177735669126773,4.362553224952378
2-butanol production by hydration of butene,RER,butane,kg,1,2.340409906247817,2.334806737111874,0.0050234246358785,0.0005797445000634,1.1010549552370172e-08,2.941778890060364,2.077406297596368
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,2-cyclopentanone,kg,1,14.53003973136334,14.46550893256807,0.0608255610922929,0.0037052377029801,7.133602953683275e-08,16.03365619520282,12.85223298883745
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,formic acid,kg,1,6.30574247883509,6.277737421266102,0.0263970595724354,0.0016079979965526,3.0958389655969313e-08,6.958281520930246,5.577608389512219
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,2-cyclopentanone,kg,1,14.39481365534602,14.32724646471054,0.0640042849233032,0.0035629057121774,7.127455790226282e-08,15.87887408020958,12.72054299575675
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,formic acid,kg,1,6.247057105115982,6.217734315086301,0.0277765612297104,0.0015462287999713,3.093171221371849e-08,6.891109223020425,5.520457604052634
2-methyl-2-butanol production,RoW,2-methyl-2-butanol,kg,1,2.826272686458041,2.82586942739779,-0.0001735273853547,0.0005767864456056,1.1352238815997871e-08,3.433118720765643,2.578371142924954
2-methyl-2-butanol production,RER,2-methyl-2-butanol,kg,1,2.581224304758571,2.575902401559906,0.0049192241991396,0.000402678999525,1.077857323589708e-08,3.130434889495379,2.349261516479474
2-nitroaniline production,RoW,2-nitroaniline,kg,1,5.492023986255053,5.48650372955624,0.0013861213809197,0.004134135317893,4.731707056105135e-08,6.536333321127718,4.945018266112399
2-nitroaniline production,RER,2-nitroaniline,kg,1,4.015296280142431,3.977935952648061,0.0346205699982083,0.0027397574961602,5.43444274583423e-08,4.988929943061343,3.545221553830482
2-pyridinol production,RoW,2-pyridinol,kg,1,18.49245834404792,18.4329794378078,0.0452980375428073,0.0141808686973168,1.450804131086084e-07,21.90051222593625,16.96417410927458
2-pyridinol production,RER,2-pyridinol,kg,1,17.79558209882912,17.72238526081021,0.0601539297294796,0.0130429082894223,1.492959122544011e-07,21.10381948842978,16.28545997527219
3-methyl-1-butyl acetate production,RoW,3-methyl-1-butyl acetate,kg,1,5.769189068914294,5.711844516587401,0.0549524013941834,0.0023921509327071,3.461725661072921e-08,6.960877229380041,5.232431319453874
3-methyl-1-butyl acetate production,RER,3-methyl-1-butyl acetate,kg,1,5.691509603845563,5.650243778898798,0.0390007302074851,0.0022650947392774,3.462373080403206e-08,6.892377606375154,5.170860350142931
3-methylpyridine production,RoW,3-methylpyridine,kg,1,4.900576744465831,4.88907963961138,0.0076534428051519,0.0038436620493001,3.435571100206683e-08,6.091485896826778,4.396944836825464
3-methylpyridine production,RER,3-methylpyridine,kg,1,4.623055117476916,4.608552262083317,0.0108623231064951,0.0036405322871036,3.8306552933235546e-08,5.786231090694772,4.125430156601328
4-methyl-2-pentanone production,RoW,4-methyl-2-pentanone,kg,1,5.172783160880346,5.167389714646493,0.0021482179247306,0.0032452283091228,4.820408511624454e-08,6.453139882454085,4.638373961957095
4-methyl-2-pentanone production,RER,4-methyl-2-pentanone,kg,1,4.028549713502755,4.005213543748975,0.0212259256678229,0.0021102440859577,4.287497640541425e-08,5.263578332223619,3.518691488068041
4-tert-butylbenzaldehyde production,RoW,4-tert-butylbenzaldehyde,kg,1,4.139238481972392,4.134107330194258,0.0021149192457399,0.0030162325323954,3.319356612870666e-08,5.213850219442561,3.682128585098601
4-tert-butylbenzaldehyde production,RER,4-tert-butylbenzaldehyde,kg,1,3.557192500564152,3.539099650007947,0.0160774730260559,0.0020153775301491,3.01912071700357e-08,4.590190007757952,3.094916274034753
4-tert-butyltoluene production,RoW,4-tert-butyltoluene,kg,1,2.448830124686967,2.447023871713631,0.0004220600453552,0.0013841929279805,1.9937313749274372e-08,3.318938861943285,2.077974559754978
4-tert-butyltoluene production,RER,4-tert-butyltoluene,kg,1,2.241873839177493,2.234565800819275,0.0063360369352611,0.0009720014229561,1.97153782046773e-08,3.12885549223544,1.853383746964124
6-benzyladenine production,GLO,6-benzyladenine,kg,1,4.565514850095862,4.546142541495238,0.0166634210094649,0.0027088875911585,4.034414683268694e-08,5.499374130983094,4.175909537561458
"BTX production, from pyrolysis gas, average",RoW,benzene,kg,1,2.306154250933511,2.305170798777138,9.773463398074463e-05,0.0008857175223927,1.787369020191104e-08,3.237722672132599,1.90842777351587
"BTX production, from pyrolysis gas, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",kg,1,1.439223707634044,1.437668781924735,0.0010027137073594,0.0005522120019504,8.515830618709729e-09,2.18532365712794,1.118012018758952
"BTX production, from pyrolysis gas, average",RoW,o-xylene,kg,1,3.128980029181366,3.128017138176059,-0.0004182200075223,0.0013811110128297,2.64692876209978e-08,4.190974786286518,2.678003613168236
"BTX production, from pyrolysis gas, average",RoW,p-xylene,kg,1,3.103899363154396,3.102899551176636,-0.0003741714825134,0.0013739834602726,2.61541729708923e-08,4.161647367261656,2.654623866207578
"BTX production, from pyrolysis gas, average",RoW,raffinate,kg,1,1.439243105089383,1.437688158423218,0.0010027272216549,0.0005522194445096,8.515945392697606e-09,2.185353110310103,1.118027087012821
"BTX production, from pyrolysis gas, average",RoW,"toluene, liquid",kg,1,2.163568153425805,2.16248464386635,0.0002570772991855,0.000826432260269,1.62995665538788e-08,3.070814951635086,1.775723920640711
