activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,cluster,is_anomaly,pca_x,pca_y
"1,1-difluoroethane production",RoW,"1,1-difluoroethane",kg,1,4,False,0.0617114595733825,0.5562642955573797
"1,1-difluoroethane production",US,"1,1-difluoroethane",kg,1,4,False,0.06170988182460317,0.5562518153295783
"1,1-dimethylcyclopentane to generic market for solvent, organic",GLO,"solvent, organic",kg,1,0,False,-0.0103731787307072,-0.04879955144021327
"1,3-dichloropropene to generic market for pesticide, unspecified",GLO,"pesticide, unspecified",kg,1,0,False,0.0004643329466638604,0.04224178549120808
"1,4-butanediol production",RoW,"1,4-butanediol",kg,1,4,False,0.06132289588483575,0.553088976325998
"1,4-butanediol production",RER,"1,4-butanediol",kg,1,4,False,0.04578662871195623,0.42274804086046724
1-methoxy-2-propanol production,GLO,1-methoxy-2-propanol,kg,1,4,False,0.04793725516674853,0.44079207565091943
1-methylcyclopropene production,GLO,1-methylcyclopropene,kg,1,4,False,0.08258145062006864,0.7312543452844151
1-methylcyclopropene production,GLO,"sodium chloride, powder",kg,1,0,False,-0.07538354197821323,-0.5949324223171757
1-naphthylacetic acid production,GLO,1-naphthylacetic acid,kg,1,4,False,0.049042499284596315,0.4500667577072605
1-propanol production,RoW,1-propanol,kg,1,4,False,0.05165906297554727,0.4720254654653978
1-propanol production,RER,1-propanol,kg,1,4,False,0.04166987238646008,0.38820333460633977
"2,3-dimethylbutane to generic market for solvent, organic",GLO,"solvent, organic",kg,1,0,False,-0.0103731787307072,-0.04879955144021327
"2,4-di-tert-butylphenol production",GLO,"2,4-di-tert-butylphenol",kg,1,4,False,0.05067004550817987,0.4637236530841804
"2,4-dichlorophenol production",RoW,"2,4-dichlorophenol",kg,1,4,False,0.04550423352227439,0.4203815013294392
"2,4-dichlorophenol production",RER,"2,4-dichlorophenol",kg,1,4,False,0.03277670101341173,0.3135552975474028
"2,4-dichlorotoluene production",RoW,"2,4-dichlorotoluene",kg,1,4,False,0.030745943136034386,0.2965096563331513
"2,4-dichlorotoluene production",RER,"2,4-dichlorotoluene",kg,1,4,False,0.01736474485825842,0.18416096747921776
"2,4-dinitrotoluene production",RoW,"2,4-dinitrotoluene",kg,1,4,False,0.030204301399991255,0.29198697125885836
"2,4-dinitrotoluene production",RER,"2,4-dinitrotoluene",kg,1,0,False,0.009465083500631145,0.11783060204504449
"2,5-dimethylhexane-2,5-dihydroperoxide production",GLO,"2,5-dimethylhexane-2,5-dihydroperoxide",kg,1,4,False,0.05377606170935003,0.48978408658621053
"2,6-di-tert-butylphenol production",GLO,"2,6-di-tert-butylphenol",kg,1,4,False,0.03859154716935077,0.3623630159354982
2-butanol production by hydration of butene,RoW,2-butanol,kg,1,4,False,0.05652298582920709,0.5128308414888266
2-butanol production by hydration of butene,RoW,butane,kg,1,4,False,0.02276663055982432,0.22952557825565928
2-butanol production by hydration of butene,RER,2-butanol,kg,1,4,False,0.05192063215499276,0.4742181246298194
2-butanol production by hydration of butene,RER,butane,kg,1,4,False,0.017583557196214666,0.186004951475343
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,2-cyclopentanone,kg,1,4,False,0.0919597300473586,0.8098248903338692
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,formic acid,kg,1,4,False,0.06228565964725261,0.5612124478408602
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,2-cyclopentanone,kg,1,4,False,0.09166645993966448,0.8073719085826889
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,formic acid,kg,1,4,False,0.06189534517966699,0.5579391992930043
2-methyl-2-butanol production,RoW,2-methyl-2-butanol,kg,1,4,False,0.02673967163458008,0.26288364856150687
2-methyl-2-butanol production,RER,2-methyl-2-butanol,kg,1,4,False,0.022312801666258996,0.22571710199407627
2-nitroaniline production,RoW,2-nitroaniline,kg,1,4,False,0.05672026394520128,0.5144947689081615
2-nitroaniline production,RER,2-nitroaniline,kg,1,4,False,0.042656842774928656,0.39648020135348966
2-pyridinol production,RoW,2-pyridinol,kg,1,4,False,0.09901401984816821,0.8687161331220941
2-pyridinol production,RER,2-pyridinol,kg,1,4,False,0.09791788483627689,0.8595569648441407
3-methyl-1-butyl acetate production,RoW,3-methyl-1-butyl acetate,kg,1,4,False,0.05840693326905655,0.5286312894530266
3-methyl-1-butyl acetate production,RER,3-methyl-1-butyl acetate,kg,1,4,False,0.057954600039395156,0.5248372361569086
3-methylpyridine production,RoW,3-methylpyridine,kg,1,4,False,0.051797180730756114,0.47318017639099647
3-methylpyridine production,RER,3-methylpyridine,kg,1,4,False,0.04922014551461802,0.4515563762594922
4-methyl-2-pentanone production,RoW,4-methyl-2-pentanone,kg,1,4,False,0.05418015371440765,0.49317002095057894
4-methyl-2-pentanone production,RER,4-methyl-2-pentanone,kg,1,4,False,0.04296688668271764,0.3990727005537568
4-tert-butylbenzaldehyde production,RoW,4-tert-butylbenzaldehyde,kg,1,4,False,0.044393007319020766,0.41105170547934383
4-tert-butylbenzaldehyde production,RER,4-tert-butylbenzaldehyde,kg,1,4,False,0.03730863966645415,0.35159192207227624
4-tert-butyltoluene production,RoW,4-tert-butyltoluene,kg,1,4,False,0.019847763855505317,0.20500543466256582
4-tert-butyltoluene production,RER,4-tert-butyltoluene,kg,1,4,False,0.015466036492211144,0.16821098942875276
6-benzyladenine production,GLO,6-benzyladenine,kg,1,4,False,0.04861992377809762,0.4465254933621659
