,pct_missing
Reference Product Amount,0.0
kg CO2-Eq,0.0
kg CO2-Eq.1,0.0
kg CO2-Eq.2,0.0
kg CO2-Eq.3,0.0
kg CO2-Eq.4,0.0
kg CO2-Eq.5,0.0
kg CO2-Eq.6,0.0
kg CO2-Eq.7,0.0
kg CO2-Eq.8,0.0
kg CO2-Eq.9,0.0
kg CO2-Eq.10,0.0
kg CO2-Eq.11,0.0
kg CO2-Eq.12,0.0
kg CO2-Eq.13,0.0
kg CO2-Eq.14,0.0
kg CO2-Eq.15,0.0
kg CO2-Eq.16,0.0
kg CO2-Eq.17,0.0
kg CO2-Eq.18,0.0
kg CO2-Eq.19,0.0
kg CO2-Eq.20,0.0
kg CO2-Eq.21,0.0
kg CO2-Eq.22,0.0
kg CO2-Eq.23,0.0
kg CO2-Eq.24,0.0
kg CO2-Eq.25,0.0
kg CO2-Eq.26,0.0
kg CO2-Eq.27,0.0
kg CO2-Eq.28,0.0
kg CO2-Eq.29,0.0
kg CO2-Eq.30,0.0
kg CO2-Eq.31,0.0
kg CO2-Eq.32,0.0
kg CO2-Eq.33,0.0
kg CO2-Eq.34,0.0
kg CO2-Eq.35,0.0
kg CO2-Eq.36,0.0
kg CO2-Eq.37,0.0
kg CO2-Eq.38,0.0
kg CO2-Eq.39,0.0
kg CO2-Eq.40,0.0
kg CO2-Eq.41,0.0
kg CO2-Eq.42,0.0
kg CO2-Eq.43,0.0
kg CO2-Eq.44,0.0
kg CO2-Eq.45,0.0
kg CO2-Eq.46,0.0
kg CO2-Eq.47,0.0
kg CO2-Eq.48,0.0
kg CO2-Eq.49,0.0
kg CO2-Eq.50,0.0
kg CO2-Eq.51,0.0
kg CO2-Eq.52,0.0
kg CO2-Eq.53,0.0
kg CO2-Eq.54,0.0
kg CO2-Eq.55,0.0
kg CO2-Eq.56,0.0
kg CO2-Eq.57,0.0
kg CO2-Eq.58,0.0
kg CO2-Eq.59,0.0
kg CO2-Eq.60,0.0
kg CO2-Eq.61,0.0
kg CO2-Eq.62,0.0
kg CO2-Eq.63,0.0
kg CO2-Eq.64,0.0
kg CO2-Eq.65,0.0
kg CO2-Eq.66,0.0
kg CO2-Eq.67,0.0
