activity_name,geography,reference_product_name,iso_forest_anomaly,lof_anomaly
"1,1-difluoroethane production",RoW,"1,1-difluoroethane",False,False
"1,1-difluoroethane production",US,"1,1-difluoroethane",False,False
"1,1-dimethylcyclopentane to generic market for solvent, organic",GLO,"solvent, organic",False,False
"1,3-dichloropropene to generic market for pesticide, unspecified",GLO,"pesticide, unspecified",False,False
"1,4-butanediol production",RoW,"1,4-butanediol",False,False
"1,4-butanediol production",RER,"1,4-butanediol",False,False
1-methoxy-2-propanol production,GLO,1-methoxy-2-propanol,False,False
1-methylcyclopropene production,GLO,1-methylcyclopropene,False,False
1-methylcyclopropene production,GLO,"sodium chloride, powder",False,False
1-naphthylacetic acid production,GLO,1-naphthylacetic acid,False,False
1-propanol production,RoW,1-propanol,False,False
1-propanol production,RER,1-propanol,False,False
"2,3-dimethylbutane to generic market for solvent, organic",GLO,"solvent, organic",False,False
"2,4-di-tert-butylphenol production",GLO,"2,4-di-tert-butylphenol",False,False
"2,4-dichlorophenol production",RoW,"2,4-dichlorophenol",False,False
"2,4-dichlorophenol production",RER,"2,4-dichlorophenol",False,False
"2,4-dichlorotoluene production",RoW,"2,4-dichlorotoluene",False,False
"2,4-dichlorotoluene production",RER,"2,4-dichlorotoluene",False,False
"2,4-dinitrotoluene production",RoW,"2,4-dinitrotoluene",False,False
"2,4-dinitrotoluene production",RER,"2,4-dinitrotoluene",False,False
"2,5-dimethylhexane-2,5-dihydroperoxide production",GLO,"2,5-dimethylhexane-2,5-dihydroperoxide",False,False
"2,6-di-tert-butylphenol production",GLO,"2,6-di-tert-butylphenol",False,False
2-butanol production by hydration of butene,RoW,2-butanol,False,False
2-butanol production by hydration of butene,RoW,butane,False,False
2-butanol production by hydration of butene,RER,2-butanol,False,False
2-butanol production by hydration of butene,RER,butane,False,False
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,2-cyclopentanone,False,False
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,formic acid,False,False
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,2-cyclopentanone,False,False
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,formic acid,False,False
2-methyl-2-butanol production,RoW,2-methyl-2-butanol,False,False
2-methyl-2-butanol production,RER,2-methyl-2-butanol,False,False
2-nitroaniline production,RoW,2-nitroaniline,False,False
2-nitroaniline production,RER,2-nitroaniline,False,False
2-pyridinol production,RoW,2-pyridinol,False,False
2-pyridinol production,RER,2-pyridinol,False,False
3-methyl-1-butyl acetate production,RoW,3-methyl-1-butyl acetate,False,False
3-methyl-1-butyl acetate production,RER,3-methyl-1-butyl acetate,False,False
3-methylpyridine production,RoW,3-methylpyridine,False,False
3-methylpyridine production,RER,3-methylpyridine,False,False
4-methyl-2-pentanone production,RoW,4-methyl-2-pentanone,False,False
4-methyl-2-pentanone production,RER,4-methyl-2-pentanone,False,False
4-tert-butylbenzaldehyde production,RoW,4-tert-butylbenzaldehyde,False,False
4-tert-butylbenzaldehyde production,RER,4-tert-butylbenzaldehyde,False,False
4-tert-butyltoluene production,RoW,4-tert-butyltoluene,False,False
4-tert-butyltoluene production,RER,4-tert-butyltoluene,False,False
6-benzyladenine production,GLO,6-benzyladenine,False,False
"BTX production, from pyrolysis gas, average",RoW,benzene,False,False
"BTX production, from pyrolysis gas, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",False,False
"BTX production, from pyrolysis gas, average",RoW,o-xylene,False,False
"BTX production, from pyrolysis gas, average",RoW,p-xylene,False,False
"BTX production, from pyrolysis gas, average",RoW,raffinate,False,False
"BTX production, from pyrolysis gas, average",RoW,"toluene, liquid",False,False
"BTX production, from pyrolysis gas, average",RoW,"xylene, mixed",False,False
"BTX production, from pyrolysis gas, average",RER,benzene,False,False
"BTX production, from pyrolysis gas, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",False,False
"BTX production, from pyrolysis gas, average",RER,o-xylene,False,False
"BTX production, from pyrolysis gas, average",RER,p-xylene,False,False
"BTX production, from pyrolysis gas, average",RER,raffinate,False,False
"BTX production, from pyrolysis gas, average",RER,"toluene, liquid",False,False
"BTX production, from pyrolysis gas, average",RER,"xylene, mixed",False,False
"BTX production, from reformate, average",RoW,benzene,False,False
"BTX production, from reformate, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",False,False
"BTX production, from reformate, average",RoW,o-xylene,False,False
"BTX production, from reformate, average",RoW,p-xylene,False,False
"BTX production, from reformate, average",RoW,raffinate,False,False
"BTX production, from reformate, average",RoW,"toluene, liquid",False,False
"BTX production, from reformate, average",RoW,"xylene, mixed",False,False
"BTX production, from reformate, average",RER,benzene,False,False
"BTX production, from reformate, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",False,False
"BTX production, from reformate, average",RER,o-xylene,False,False
"BTX production, from reformate, average",RER,p-xylene,False,False
"BTX production, from reformate, average",RER,raffinate,False,False
"BTX production, from reformate, average",RER,"toluene, liquid",False,False
"BTX production, from reformate, average",RER,"xylene, mixed",False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",BR,C3 hydrocarbon mixture,False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",CO,C3 hydrocarbon mixture,False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",Europe without Switzerland,C3 hydrocarbon mixture,False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",IN,C3 hydrocarbon mixture,False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",PE,C3 hydrocarbon mixture,False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",RoW,C3 hydrocarbon mixture,False,False
"C3 hydrocarbon production, mixture, petroleum refinery operation",ZA,C3 hydrocarbon mixture,False,False
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"energy feed, gross",False,False
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"protein feed, 100% crude",False,False
EUR-flat pallet production,RoW,EUR-flat pallet,False,False
EUR-flat pallet production,RER,EUR-flat pallet,False,False
"MOX fuel element production, for light water reactor",RoW,"MOX fuel element, for light water reactor",False,False
"MOX fuel element production, for light water reactor",UCTE,"MOX fuel element, for light water reactor",False,False
"N,N-dimethylformamide production, direct synthesis",RoW,"N,N-dimethylformamide",False,False
"N,N-dimethylformamide production, direct synthesis",RER,"N,N-dimethylformamide",False,False
N-methyl-2-pyrrolidone production,RoW,N-methyl-2-pyrrolidone,False,False
N-methyl-2-pyrrolidone production,RER,N-methyl-2-pyrrolidone,False,False
"NCA hydroxide production, for Li-ion battery",CN,NCA hydroxide,False,False
"NCA hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,True
"NCA hydroxide production, for Li-ion battery",RoW,NCA hydroxide,False,False
"NCA hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,True
"NCA oxide production, for Li-ion battery",CN,NCA oxide,False,False
"NCA oxide production, for Li-ion battery",RoW,NCA oxide,False,False
"NMC111 hydroxide production, for Li-ion battery",CN,NMC111 hydroxide,False,False
"NMC111 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC111 hydroxide production, for Li-ion battery",RoW,NMC111 hydroxide,False,False
"NMC111 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC111 oxide production, for Li-ion battery",CN,NMC111 oxide,False,False
"NMC111 oxide production, for Li-ion battery",RoW,NMC111 oxide,False,False
"NMC532 hydroxide production, for Li-ion battery",CN,NMC532 hydroxide,False,False
"NMC532 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC532 hydroxide production, for Li-ion battery",RoW,NMC532 hydroxide,False,False
"NMC532 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC532 oxide production, for Li-ion battery",CN,NMC532 oxide,False,False
"NMC532 oxide production, for Li-ion battery",RoW,NMC532 oxide,False,False
"NMC622 hydroxide production, for Li-ion battery",CN,NMC622 hydroxide,False,False
"NMC622 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC622 hydroxide production, for Li-ion battery",RoW,NMC622 hydroxide,False,False
"NMC622 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC622 oxide production, for Li-ion battery",CN,NMC622 oxide,False,False
"NMC622 oxide production, for Li-ion battery",RoW,NMC622 oxide,False,False
"NMC811 hydroxide production, for Li-ion battery",CN,NMC811 hydroxide,False,False
"NMC811 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",False,False
"NMC811 hydroxide production, for Li-ion battery",RoW,NMC811 hydroxide,False,False
"NMC811 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",False,False
"NMC811 oxide production, for Li-ion battery",CN,NMC811 oxide,False,False
"NMC811 oxide production, for Li-ion battery",RoW,NMC811 oxide,False,False
NPK (15-15-15) fertiliser production,CN,NPK (15-15-15) fertiliser,False,True
NPK (15-15-15) fertiliser production,RoW,NPK (15-15-15) fertiliser,False,False
NPK (15-15-15) fertiliser production,RER,NPK (15-15-15) fertiliser,False,False
NPK (15-15-15) fertiliser production,RNA,NPK (15-15-15) fertiliser,False,False
