activity_name,geography,reference_product_name,kmeans_cluster,agglomerative_cluster,dbscan_cluster
"1,1-difluoroethane production",RoW,"1,1-difluoroethane",4,4,0
"1,1-difluoroethane production",US,"1,1-difluoroethane",4,4,0
"1,1-dimethylcyclopentane to generic market for solvent, organic",GLO,"solvent, organic",0,1,0
"1,3-dichloropropene to generic market for pesticide, unspecified",GLO,"pesticide, unspecified",0,1,0
"1,4-butanediol production",RoW,"1,4-butanediol",4,4,0
"1,4-butanediol production",RER,"1,4-butanediol",4,4,0
1-methoxy-2-propanol production,GLO,1-methoxy-2-propanol,4,4,0
1-methylcyclopropene production,GLO,1-methylcyclopropene,4,4,0
1-methylcyclopropene production,GLO,"sodium chloride, powder",0,1,0
1-naphthylacetic acid production,GLO,1-naphthylacetic acid,4,4,0
1-propanol production,RoW,1-propanol,4,4,0
1-propanol production,RER,1-propanol,4,4,0
"2,3-dimethylbutane to generic market for solvent, organic",GLO,"solvent, organic",0,1,0
"2,4-di-tert-butylphenol production",GLO,"2,4-di-tert-butylphenol",4,4,0
"2,4-dichlorophenol production",RoW,"2,4-dichlorophenol",4,4,0
"2,4-dichlorophenol production",RER,"2,4-dichlorophenol",4,4,0
"2,4-dichlorotoluene production",RoW,"2,4-dichlorotoluene",4,4,0
"2,4-dichlorotoluene production",RER,"2,4-dichlorotoluene",4,4,0
"2,4-dinitrotoluene production",RoW,"2,4-dinitrotoluene",4,4,0
"2,4-dinitrotoluene production",RER,"2,4-dinitrotoluene",0,1,0
"2,5-dimethylhexane-2,5-dihydroperoxide production",GLO,"2,5-dimethylhexane-2,5-dihydroperoxide",4,4,0
"2,6-di-tert-butylphenol production",GLO,"2,6-di-tert-butylphenol",4,4,0
2-butanol production by hydration of butene,RoW,2-butanol,4,4,0
2-butanol production by hydration of butene,RoW,butane,4,4,0
2-butanol production by hydration of butene,RER,2-butanol,4,4,0
2-butanol production by hydration of butene,RER,butane,4,4,0
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,2-cyclopentanone,4,4,0
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,formic acid,4,4,0
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,2-cyclopentanone,4,4,0
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,formic acid,4,4,0
2-methyl-2-butanol production,RoW,2-methyl-2-butanol,4,4,0
2-methyl-2-butanol production,RER,2-methyl-2-butanol,4,4,0
2-nitroaniline production,RoW,2-nitroaniline,4,4,0
2-nitroaniline production,RER,2-nitroaniline,4,4,0
2-pyridinol production,RoW,2-pyridinol,4,4,0
2-pyridinol production,RER,2-pyridinol,4,4,0
3-methyl-1-butyl acetate production,RoW,3-methyl-1-butyl acetate,4,4,0
3-methyl-1-butyl acetate production,RER,3-methyl-1-butyl acetate,4,4,0
3-methylpyridine production,RoW,3-methylpyridine,4,4,0
3-methylpyridine production,RER,3-methylpyridine,4,4,0
4-methyl-2-pentanone production,RoW,4-methyl-2-pentanone,4,4,0
4-methyl-2-pentanone production,RER,4-methyl-2-pentanone,4,4,0
4-tert-butylbenzaldehyde production,RoW,4-tert-butylbenzaldehyde,4,4,0
4-tert-butylbenzaldehyde production,RER,4-tert-butylbenzaldehyde,4,4,0
4-tert-butyltoluene production,RoW,4-tert-butyltoluene,4,4,0
4-tert-butyltoluene production,RER,4-tert-butyltoluene,4,1,0
6-benzyladenine production,GLO,6-benzyladenine,4,4,0
"BTX production, from pyrolysis gas, average",RoW,benzene,4,4,0
"BTX production, from pyrolysis gas, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",0,1,0
"BTX production, from pyrolysis gas, average",RoW,o-xylene,4,4,0
"BTX production, from pyrolysis gas, average",RoW,p-xylene,4,4,0
"BTX production, from pyrolysis gas, average",RoW,raffinate,0,1,0
"BTX production, from pyrolysis gas, average",RoW,"toluene, liquid",4,1,0
"BTX production, from pyrolysis gas, average",RoW,"xylene, mixed",4,1,0
"BTX production, from pyrolysis gas, average",RER,benzene,4,1,0
"BTX production, from pyrolysis gas, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",0,1,0
"BTX production, from pyrolysis gas, average",RER,o-xylene,4,4,0
"BTX production, from pyrolysis gas, average",RER,p-xylene,4,4,0
"BTX production, from pyrolysis gas, average",RER,raffinate,0,1,0
"BTX production, from pyrolysis gas, average",RER,"toluene, liquid",4,1,0
"BTX production, from pyrolysis gas, average",RER,"xylene, mixed",4,1,0
"BTX production, from reformate, average",RoW,benzene,0,1,0
"BTX production, from reformate, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",0,1,0
"BTX production, from reformate, average",RoW,o-xylene,4,4,0
"BTX production, from reformate, average",RoW,p-xylene,4,4,0
"BTX production, from reformate, average",RoW,raffinate,0,1,0
"BTX production, from reformate, average",RoW,"toluene, liquid",0,1,0
"BTX production, from reformate, average",RoW,"xylene, mixed",0,1,0
"BTX production, from reformate, average",RER,benzene,0,1,0
"BTX production, from reformate, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",0,1,0
"BTX production, from reformate, average",RER,o-xylene,4,1,0
"BTX production, from reformate, average",RER,p-xylene,4,1,0
"BTX production, from reformate, average",RER,raffinate,0,1,0
"BTX production, from reformate, average",RER,"toluene, liquid",0,1,0
"BTX production, from reformate, average",RER,"xylene, mixed",0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",BR,C3 hydrocarbon mixture,0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",CO,C3 hydrocarbon mixture,0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",Europe without Switzerland,C3 hydrocarbon mixture,0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",IN,C3 hydrocarbon mixture,0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",PE,C3 hydrocarbon mixture,0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",RoW,C3 hydrocarbon mixture,0,1,0
"C3 hydrocarbon production, mixture, petroleum refinery operation",ZA,C3 hydrocarbon mixture,0,1,0
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"energy feed, gross",0,1,0
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"protein feed, 100% crude",0,1,0
EUR-flat pallet production,RoW,EUR-flat pallet,4,4,0
EUR-flat pallet production,RER,EUR-flat pallet,4,4,0
"MOX fuel element production, for light water reactor",RoW,"MOX fuel element, for light water reactor",4,4,0
"MOX fuel element production, for light water reactor",UCTE,"MOX fuel element, for light water reactor",4,4,0
"N,N-dimethylformamide production, direct synthesis",RoW,"N,N-dimethylformamide",4,4,0
"N,N-dimethylformamide production, direct synthesis",RER,"N,N-dimethylformamide",4,4,0
N-methyl-2-pyrrolidone production,RoW,N-methyl-2-pyrrolidone,4,4,0
N-methyl-2-pyrrolidone production,RER,N-methyl-2-pyrrolidone,4,4,0
"NCA hydroxide production, for Li-ion battery",CN,NCA hydroxide,4,4,0
"NCA hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",0,1,0
"NCA hydroxide production, for Li-ion battery",RoW,NCA hydroxide,4,4,0
"NCA hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",0,1,0
"NCA oxide production, for Li-ion battery",CN,NCA oxide,4,4,0
"NCA oxide production, for Li-ion battery",RoW,NCA oxide,4,4,0
"NMC111 hydroxide production, for Li-ion battery",CN,NMC111 hydroxide,4,4,0
"NMC111 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",0,1,0
"NMC111 hydroxide production, for Li-ion battery",RoW,NMC111 hydroxide,4,4,0
"NMC111 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",0,1,0
"NMC111 oxide production, for Li-ion battery",CN,NMC111 oxide,4,4,0
"NMC111 oxide production, for Li-ion battery",RoW,NMC111 oxide,4,4,0
"NMC532 hydroxide production, for Li-ion battery",CN,NMC532 hydroxide,4,4,0
"NMC532 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",0,1,0
"NMC532 hydroxide production, for Li-ion battery",RoW,NMC532 hydroxide,4,4,0
"NMC532 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",0,1,0
"NMC532 oxide production, for Li-ion battery",CN,NMC532 oxide,4,4,0
